time,scenario_name,target_distance,origin_distance,velocity.north,velocity.east,velocity.down,battery,current_lat,current_lon,current_alt,origin_lat,origin_lon,origin_alt,target_lat,target_lon,target_alt,onWater,bad_connection,is_armed,goals
02:31:14,,,,,,,,,,,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,,False,
02:31:15,,0.07018768208681885,0.0,0.0,0.04999999701976776,-0.029999999329447746,,-3.7867002,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,False,
02:31:16,,0.07018768208681885,0.0,0.0,0.04999999701976776,-0.029999999329447746,,-3.7867002,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,False,
02:31:17,,0.06749356537553593,0.011119492646257946,0.0,0.04999999701976776,-0.029999999329447746,100.0,-3.7867001,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,False,
02:31:18,,0.06749356537553593,0.011119492646257946,0.0,0.04999999701976776,-0.029999999329447746,100.0,-3.7867001,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,False,
02:31:19,Arming,0.06749356537553593,0.011119492646257946,0.0,0.04999999701976776,-0.029999999329447746,100.0,-3.7867001,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,False,
02:31:20,TakingOff,0.06749356537553593,0.011119492646257946,0.0,0.04999999701976776,-0.029999999329447746,100.0,-3.7867001,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:21,TakingOff,0.06749356537553593,0.011119492646257946,0.0,0.04999999701976776,-0.029999999329447746,99.0,-3.7867001,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:22,TakingOff,0.0665713020069722,0.02223898534189636,0.0,0.04999999701976776,-0.029999999329447746,99.0,-3.7866999999999997,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:23,TakingOff,0.0665713020069722,0.02223898534189636,0.0,0.04999999701976776,-0.029999999329447746,97.0,-3.7866999999999997,-38.551970399999995,0.6,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:24,TakingOff,0.0665713020069722,0.02223898534189636,0.0,0.04999999701976776,-0.029999999329447746,97.0,-3.7866999999999997,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:25,TakingOff,0.0665713020069722,0.02223898534189636,0.0,0.04999999701976776,-0.029999999329447746,93.0,-3.7866999999999997,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:26,TakingOff,0.0665713020069722,0.02223898534189636,0.0,0.04999999701976776,-0.029999999329447746,93.0,-3.7866999999999997,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:27,TakingOff,0.0674935653912564,0.033358477988154306,0.0,0.04999999701976776,-0.029999999329447746,90.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:28,TakingOff,0.0674935653912564,0.033358477988154306,0.0,0.04999999701976776,-0.029999999329447746,90.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:29,TakingOff,0.0674935653912564,0.033358477988154306,0.009999999776482582,0.04999999701976776,-0.029999999329447746,87.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:30,TakingOff,0.0674935653912564,0.033358477988154306,0.009999999776482582,0.04999999701976776,-0.029999999329447746,87.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:31,TakingOff,0.0674935653912564,0.033358477988154306,0.009999999776482582,0.04999999701976776,-0.029999999329447746,83.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:32,TakingOff,0.0674935653912564,0.033358477988154306,0.009999999776482582,0.04999999701976776,-0.029999999329447746,83.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:33,TakingOff,0.0674935653912564,0.033358477988154306,0.009999999776482582,0.04999999701976776,-0.029999999329447746,80.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:34,TakingOff,0.0674935653912564,0.033358477988154306,0.009999999776482582,0.04999999701976776,-0.029999999329447746,80.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
02:31:35,TakingOff,0.0674935653912564,0.033358477988154306,0.009999999776482582,0.04999999701976776,-0.029999999329447746,77.0,-3.7866999,-38.551970399999995,0.5,-3.7867002,-38.551970399999995,0.5700000524520874,-3.7867,-38.551971,5,,False,True,
